gsp_id,gsp_name,longitude,latitude
0,NATIONAL,-2.618847881903495,54.02258738894808
1,ABHA1,-3.7646882001391084,50.439889876207076
2,ABNE_P,-3.4010239746325914,56.319047323328164
3,ABTH_1,-3.3519769703629385,51.43811378674439
4,ACTL_2|CBNK_H|GREE_H|PERI_H|WESA_H,-0.3157743917330411,51.53327061050014
6,ALNE_P,-4.1784703600126605,57.75555517822822
7,ALST_3|USKM_1,-2.8901270313727796,51.65204374911983
8,ALVE1,-4.1109476244156795,50.89356681822732
9,AMEM_1,-0.8643029715252007,51.74265990459288
10,ARBR_P,-2.667853171970723,56.566545001096436
11,ARDK_P|CLAC_P,-4.9601919003283355,56.22809154022869
12,ARMO_P|HARG_P,-7.226436753807473,57.53276887135097
13,AXMI1,-2.876102515209872,50.820670749942906
14,AYRR,-4.6248157838891,55.43273225269177
15,BAGA,-3.703429494795812,55.89156298728902
16,BAIN,-3.7544251675673883,56.042399192310945
18,BEAU_P|ORRI_P,-4.617671155543561,57.51464695082324
19,BEDDT1,-0.02777444947234689,51.42397608043953
20,BEDD_1,-0.07714776342802898,51.3318898657739
21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P,-2.922166999825127,57.47954722728038
22,BERW,-2.0939175940452417,55.76038231078545
23,BESW_1,-1.529897518444213,52.28394844467069
24,BICF_1,-0.2232940856812155,53.07684083367685
25,BIRK_1,-3.068797380851907,53.35473056030882
26,BISW_1,-2.656193971841288,52.21807686732638
27,BLYTB1,-1.7172380181411726,55.13034169343713
28,BLYTH132,-1.8832842573671476,55.421114827343956
29,BOAG_P,-3.911821690033416,57.15913143829079
30,BOLN_1,-0.2670796658665908,51.01790206880275
31,BONN,-3.958982872972898,56.011525886672494
32,BOTW_1,-1.2399326341199015,50.93265396803674
33,BRAC_P,-3.9785454825659454,56.25691989821805
34,BRAI_1,0.5601379055464353,51.86523435502371
35,BRAP,-4.388422282721425,55.86976241140157
36,BRAW_1,-1.9499387072419347,53.965574502020885
37,BRED_1,-2.126007922782579,53.39175689912639
38,BRFO_1|CLT03,1.0659589329459165,52.21698065591412
39,BRID_P,-2.726235563142551,56.82353840979723
40,BRIM_1,-0.06243155509901193,51.663633741134895
41,BRLE_1|FLEE_1,-1.048296438866355,51.270915277686456
42,BROA_P,-5.687976631688563,57.28487222631517
43,BROR_P,-3.909113696150222,58.08672425560156
44,BROX,-3.4423060815352566,55.962639771282376
45,BRWA1,-2.873422988168212,51.10373346219715
46,BUMU_P,-3.6900916257616285,56.44470704318412
47,BURM_1,0.2349927449348027,52.251146747767855
48,BUSH_1,-2.129207405793103,52.74303855775195
49,BUST_1,-1.9296841052015208,52.563417617233355
50,CAAD_P,-5.467472930588765,55.552415602885425
51,CAFA|EAST|GLLE|KEOO|TONG1,-3.979448570001571,54.960720026146014
52,CAMB_01,-0.8539339828042518,53.66355968818571
54,CAPEA1,-2.8633136954000107,53.21495510584766
55,CARE_1,-3.1446411744707317,51.52157670238897
56,CARR_1,-2.3689235983781356,53.426817452174554
57,CASS_P,-4.852832260802218,58.37720741458302
58,CATY,-4.175949672298394,55.84557617532996
59,CEAN_P,-4.912730855482888,57.187199012627815
60,CELL_1,-2.262867691224362,53.008560069622575
61,CHAP,-3.1706856707549704,55.199928641005464
62,CHAR_P,-3.089298953946497,56.47284592573601
63,CHAS,-4.263547914699484,55.84910854101783
64,CHIC_1,-2.491492961102134,50.72229259795954
65,CHSI_1,-0.3318632729333704,51.37817130939837
66,CHTE_1,-1.3159958561691525,53.178747466168836
67,CITR_1,-0.0957522526153906,51.52034072278124
68,CLAY_P,-2.085967720327532,57.141062015521236
69,CLYM,-4.14168908595224,55.81568438272644
70,COAT,-4.0182407540406375,55.86154154479183
71,COCK,-2.841584892778436,55.91197177589901
72,CONQA1|SASA,-3.2897490318344698,53.18682576530317
73,COUA_P,-3.4490183497679987,56.66049655790775
74,COVE_1,-1.2731762112539746,52.40709707099174
76,COYL,-4.228980840222964,55.40377995274656
77,CRAI_P,-2.2389318323426646,57.09476574323099
78,CREB_1,-0.49471036406350016,53.932241744882454
79,CROO,-4.430520585947152,55.78421963559455
80,CUMB,-3.9601261791374216,55.94314567726756
81,CUPA,-2.993519706280255,56.32731841770152
82,CURR,-3.3081089387032185,55.88668513883915
83,DALM3,-4.203799278548179,55.84289485633057
84,DEVM,-4.715460393655097,55.936046622367535
85,DEVO,-3.72556280322412,56.13994593648614
86,DEWP,-3.2089927151563353,55.961299494945926
87,DOUN_P,-4.14107658226748,58.39105022300553
88,DRAK_1,-1.608411817948641,52.78987286878827
89,DRAX_1,-1.0014253585738953,53.7775981565531
90,DRCR,-3.564983252926329,55.91091694996932
91,DRUM,-4.37043966336178,55.96190672442675
92,DUBE_P,-3.4378317672817307,58.30028814612483
93,DUDH_P|GLAG_P,-2.9726263187768627,56.46421268163609
94,DUGR_P,-6.388572015108714,57.4293417901336
95,DUMF,-3.7979381812371087,55.17096094896726
96,DUNB,-2.561889356175836,55.96855368760572
97,DUNF|TOWH,-3.5331302880172886,56.08987552376779
98,DUNO_P,-5.107058662343359,55.94174914945858
99,DYCE_P,-2.1103854722529833,57.31096720371584
100,EALI_6,-0.3157524392134031,51.49551277007933
101,EASO_1,-0.21353587478544442,52.28963893021061
102,ECCL,-2.414732894903188,55.69999844514834
103,ECLA_1,-1.0189975376135738,52.04802435132702
104,EERH,-4.124111297237676,55.91571530110111
105,EKIL,-4.173438336378069,55.75006624173574
106,EKIS,-4.178105871149905,55.745560299786874
107,ELDE,-4.453588292334991,55.82987941592888
