,gsp_id,latitude,longitude
0,0,54.022587388952815,-2.6188478819054994
1,1,50.43988987623309,-3.7646882001436883
2,2,56.319047323353075,-3.401023974612716
3,3,51.43811378677093,-3.351976970323867
4,4,51.53334273744096,-0.3162723211679655
5,6,57.75555517823583,-4.1784703599941055
6,7,51.65204374912188,-2.890127031390508
7,8,50.89356681823563,-4.1109476244262035
8,9,51.74265990461064,-0.8643029716912455
9,10,56.56654500108878,-2.6678531719849707
10,11,56.228091540225144,-4.960191900331325
11,12,57.532768871386466,-7.226436753786412
12,13,50.820670749913106,-2.8761025151939794
13,14,55.432732252695075,-4.624815783702645
14,15,55.891562987302166,-3.7034294947698436
15,16,56.04239919218643,-3.7544251674256706
16,18,57.5146469508134,-4.617671155529659
17,19,51.42397608043953,-0.027774449472320252
18,20,51.33188986582699,-0.07714776360457684
19,21,57.47954722728084,-2.9221669998245487
20,22,55.76038231080254,-2.09391759412338
21,23,52.283948444698744,-1.5298975184853327
22,24,53.076840833685196,-0.22329408569117465
23,25,53.35473056028137,-3.068797380896194
24,26,52.21807686732851,-2.6561939718483862
25,27,55.13034169343714,-1.7172380181411653
26,28,55.42111482734316,-1.88328425736752
27,29,57.15913143829079,-3.911821690033411
28,30,51.01790206878822,-0.26707966580439024
29,31,56.011525886748345,-3.9589828730897194
30,32,50.932842763208036,-1.2404091233109573
31,33,56.256919898217056,-3.978545482560244
32,34,51.86523435496547,0.5601379055139158
33,35,55.869762411382204,-4.388422282745116
34,36,53.965574502020885,-1.9499387072419303
35,37,53.39175689912698,-2.126007922831628
36,38,52.21698065589284,1.0659589329548613
37,39,56.823538409793635,-2.7262355631409374
38,40,51.66363374106118,-0.06243155495218817
39,42,57.28487222628024,-5.687976631697411
40,43,58.08672425564213,-3.909113696097316
41,44,55.962639771268755,-3.442306081498911
42,45,51.10373346215446,-2.873422988219437
43,46,56.44470704318412,-3.6900916257616285
44,47,52.251146747861426,0.23499274491603944
45,48,52.74303855772952,-2.129207405836711
46,49,52.563417617186126,-1.9296841051177867
47,50,55.55241560287617,-5.467472930590019
48,51,54.960720026166236,-3.9794485700062294
49,52,53.66355968818571,-0.8539339828042527
50,54,53.214955105836786,-2.8633136954053255
51,55,51.52157670239801,-3.1446411743665768
52,56,53.42681745211753,-2.3689235983387196
53,57,58.37720741460634,-4.852832260793704
54,58,55.845576175438644,-4.175949672401286
55,59,57.187199012627815,-4.912730855482888
56,60,53.00856006962241,-2.262867691220311
57,61,55.199928640946254,-3.1706856705839925
58,62,56.472845925739314,-3.089298953952402
59,63,55.8491085410706,-4.263547914803816
60,64,50.72271521387461,-2.4920913366889597
61,65,51.36361704505435,-0.33529529357225324
62,66,53.17874746619211,-1.315995856174582
63,67,51.52034072276914,-0.0957522525765667
64,68,57.14106201552122,-2.085967720327542
65,69,55.81568438279582,-4.141689085919164
66,70,55.86154154477583,-4.018240754043474
67,71,55.91197177596113,-2.8415848928311758
68,72,53.18682576530311,-3.2897490318116223
69,73,56.66049655790757,-3.449018349767562
70,74,52.40709707098259,-1.273176211259773
71,76,55.40377995283769,-4.228980840303667
72,77,57.09476574323099,-2.238931832342666
73,78,53.932241744882454,-0.49471036406350016
74,79,55.7842196355346,-4.430520585877648
75,80,55.94314567735699,-3.9601261789903477
76,81,56.32731841771985,-2.993519706395503
77,82,55.8866851388542,-3.308108938668739
78,83,55.84289485622327,-4.203799278467604
79,84,55.93604662249605,-4.715460393534465
80,85,56.13994593649288,-3.7255628033186605
81,86,55.961299494926216,-3.2089927149299107
82,87,58.39105022299701,-4.141076582270533
83,88,52.789872868789736,-1.6084118179681222
84,89,53.7775981565531,-1.0014253585738953
85,90,55.91091694983903,-3.564983252844413
86,91,55.96190672435365,-4.3704396634176765
87,92,58.300288146196145,-3.437831767269316
88,93,56.46421268163918,-2.9726263187902084
89,94,57.42934179014599,-6.388572015124755
90,95,55.17096094900335,-3.7979381811898114
91,96,55.96855368771777,-2.5618893563550844
92,97,56.089875523766565,-3.5331302880290525
93,98,55.94174914944345,-5.1070586623224745
94,99,57.310967203715855,-2.1103854722469233
95,100,51.49547125738248,-0.3154490753092501
96,101,52.289638930198294,-0.21353587478311403
97,102,55.69999844527351,-2.414732894916494
98,103,52.04802435134166,-1.0189975376389164
99,104,55.91571530097559,-4.124111297030114
100,105,55.75006624173044,-4.1734383363505305
101,106,55.74556029979726,-4.178105871531095
102,107,55.82987941599822,-4.453588292254621
103,108,57.64455544579062,-3.284055678053866
104,109,53.657756069051594,-1.8660602117828253
105,110,51.70645600094916,-0.3451349479469438
106,111,52.65675285591042,-1.239880911123409
107,112,55.90348180159797,-4.494336451223055
108,113,50.81638771448564,-3.4586492326315623
109,114,57.315002933815045,-4.898142390222727
110,115,57.14590273542591,-4.656962100668224
111,116,50.7118538339522,-1.3315164806739133
112,117,52.0874731580136,-1.8336081869250935
113,118,53.66375482602408,-1.303109980955552
114,119,53.827988884233406,-1.3279318386167593
115,120,57.20410312423145,-2.4496504659036686
116,121,56.89469510245557,-2.4176897759971214
117,122,53.28577593532616,-2.476116169755238
118,123,55.87214473667878,-4.282816283651743
119,124,55.022597499917616,-2.2364625127527478
120,125,57.660469109485085,-2.020938391953862
121,126,53.29764591123799,-2.687687436783195
122,127,56.79906943315239,-5.406453472848884
123,128,55.587458364265274,-2.938498915579092
124,129,55.74132509301557,-4.30454559789807
125,130,54.90727417784648,-4.9395298817830415
126,131,56.08916560528368,-3.2246548535268365
127,132,56.22283973063449,-3.193188397780776
128,133,55.9353811404579,-3.224654768150264
129,134,55.85371230395234,-4.317448378964537
130,135,52.460212485949306,-0.7635650878183262
131,136,53.585215419489074,-0.2087620655507635
132,137,55.98019148639371,-3.659028317862609
133,138,57.80069119736122,-5.218027016499287
134,141,55.825853592186775,-4.2785429960876025
135,142,52.52771504441814,-1.6871260589039068
136,144,54.686009665955524,-1.312587505218754
137,145,55.40895779306249,-2.6777438501746422
138,146,54.81579596825255,-1.406473563459557
139,147,56.03134552233755,-4.763666505917987
