"gsp_id","capacity_mwp"
0,"20199.726"
1,"200.64325"
2,"28.80731"
3,"101.68368"
4,"5.0463841"
6,"5.003691"
7,"185.59054"
8,"443.37704"
9,"136.15222"
10,"25.795158"
11,"0.44202234"
12,"0.91242165"
13,"121.03735"
14,"3.8016413"
15,"7.4956831"
16,"2.0040151"
18,"7.5436729"
19,"9.8992407"
20,"40.737807"
21,"15.020416"
22,"8.1167002"
23,"210.60268"
24,"295.69144"
25,"24.96647"
26,"295.48175"
27,"32.215895"
28,"16.989075"
29,"3.9817209"
30,"164.13412"
31,"7.0933181"
32,"67.460459"
33,"13.611979"
34,"79.35795"
35,"3.0681743"
36,"50.295673"
37,"29.68044"
38,"475.54779"
39,"5.8984239"
40,"37.972448"
41,"476.8745"
42,"1.6558372"
43,"1.791838"
44,"9.1816267"
45,"204.24246"
46,"7.3998332"
47,"341.30261"
48,"51.358024"
49,"22.533293"
50,"4.9865901"
51,"4.8694062"
52,"7.651672"
54,"29.308859"
55,"35.757553"
56,"18.366957"
57,"0.19943624"
58,"2.0476988"
59,"0.09189364"
60,"158.8991"
61,"10.285351"
62,"4.5294198"
63,"2.5745388"
64,"60.835051"
65,"33.492612"
66,"387.91709"
67,"3.5761638"
68,"0.69905262"
69,"6.2065627"
70,"6.4950634"
71,"11.793269"
72,"128.87748"
73,"8.1211966"
74,"274.32523"
76,"6.6287517"
77,"3.6023979"
78,"194.9115"
79,"5.0633468"
80,"5.6118124"
81,"17.126628"
82,"1.4844776"
83,"2.4469042"
84,"2.5030147"
85,"15.805447"
86,"1.0259184"
87,"0.52684418"
88,"123.82038"
89,"9.6279804"
90,"1.3956295"
91,"3.852822"
92,"0"
93,"1.7853934"
94,"0.96475977"
95,"12.475001"
96,"6.9928612"
97,"7.7810536"
98,"3.1307837"
99,"7.7475192"
100,"13.546384"
101,"299.42233"
102,"9.4203687"
103,"209.42987"
104,"9.5867154"
105,"6.9328383"
106,"1.1624924"
107,"2.3700779"
108,"9.6453311"
109,"39.350694"
110,"43.591884"
111,"206.79331"
112,"3.6761298"
113,"261.67623"
114,"0.14719378"
115,"0.93167877"
116,"108.18745"
117,"336.40685"
118,"28.501127"
119,"57.124002"
120,"20.977978"
121,"6.6068371"
122,"49.21826"
123,"0.065416844"
124,"3.8705933"
125,"7.3665178"
126,"12.048783"
127,"4.0309102"
128,"8.4374463"
129,"5.6502636"
130,"4.4733439"
131,"3.0107217"
132,"3.8618893"
133,"0.35873066"
134,"1.4890324"
135,"381.95792"
136,"98.387962"
137,"5.8876534"
138,"1.7531192"
141,"2.1083534"
142,"85.420436"
144,"91.207472"
145,"3.7484102"
146,"24.991384"
147,"3.1488873"
148,"30.678751"
149,"0.26226735"
150,"17.663007"
151,"0"
152,"408.06974"
153,"4.1733122"
154,"8.8743986"
155,"219.16339"
156,"113.74128"
158,"34.344808"
159,"5.7968629"
160,"7.6423009"
161,"21.484815"
162,"169.77557"
164,"87.097356"
165,"33.29284"
166,"14.42299"
167,"29.909498"
168,"0.81894197"
169,"1.832752"
170,"22.997664"
171,"7.5496968"
172,"11.758193"
173,"0.36641924"
174,"27.10094"
175,"21.392389"
176,"29.513031"
177,"76.14496"
178,"23.62062"
179,"0.36134359"
180,"18.776487"
181,"150.75136"
182,"231.30738"
183,"8.5403129"
184,"10.745126"
185,"11.601388"
186,"20.334944"
187,"11.136208"
188,"2.1094262"
189,"5.4327914"
190,"7.666705"
191,"282.0282"
192,"23.97894"
193,"2.5997445"
194,"10.544314"
195,"4.3088192"
196,"3.7352597"
197,"543.20818"
198,"3.0787653"
199,"564.34692"
200,"7.3374745"
201,"12.637166"
202,"384.90093"
203,"1.6527342"
204,"8.1440565"
205,"10.95275"
206,"19.685504"
207,"8.0482964"
208,"3.616938"
209,"18.815177"
210,"114.65874"
211,"12.375108"
212,"229.88352"
213,"7.3578261"
214,"430.25635"
215,"210.61482"
216,"157.6473"
217,"6.0069494"
218,"6.8895254"
219,"9.4507772"
220,"53.686315"
221,"35.186895"
222,"2.4366625"
223,"1.1795544"
224,"3.6547954"
226,"328.27789"
227,"206.93274"
228,"67.938862"
229,"59.021444"
230,"55.958407"
231,"101.70056"
232,"5.0415602"
233,"5.4834343"
234,"9.241178"
235,"6.5733427"
236,"3.2999063"
237,"1.903421"
238,"44.673035"
239,"0.010345747"
240,"46.761606"
241,"0.15953318"
242,"106.87797"
243,"104.38138"
244,"9.9538715"
245,"331.69107"
246,"6.2364012"
247,"13.208742"
248,"4.8691543"
249,"24.965569"
250,"29.9275"
251,"34.521494"
252,"26.140419"
253,"1.5515685"
254,"13.20095"
255,"1.1315668"
256,"80.669665"
257,"234.6311"
258,"103.73501"
259,"0.78533894"
260,"0.42671723"
261,"2.5289687"
262,"0.47809942"
263,"1.3299821"
264,"83.645794"
265,"17.371747"
266,"7.9058233"
267,"55.402493"
268,"0.23962344"
269,"23.118493"
270,"1.7483958"
271,"91.25789"
272,"6.4535855"
273,"40.010804"
274,"414.08065"
275,"22.262195"
276,"30.81738"
277,"4.1382111"
278,"17.407515"
279,"6.7822826"
280,"196.99227"
281,"447.71933"
282,"10.49833"
283,"89.251024"
284,"4.8812805"
285,"2.5054841"
286,"0.50321884"
287,"72.695638"
288,"4.8946906"
289,"28.314905"
290,"94.98063"
291,"15.530312"
292,"39.361288"
293,"3.0571046"
294,"38.74185"
295,"83.744584"
296,"116.78422"
297,"337.58019"
298,"215.11867"
299,"147.06418"
300,"29.796648"
301,"39.619224"
302,"158.38825"
303,"3.8792899"
304,"0.10981393"
305,"24.918329"
306,"2.6056041"
307,"4.3532061"
308,"6.8900352"
309,"122.91751"
311,"1.1379021"
312,"46.063861"
313,"3.2345415"
314,"2.7367911"
315,"54.342183"
316,"119.95722"
317,"71.548069"
318,"1.8910694"
319,"142.45824"
320,"3.4641687"
321,"1.5921733"
